"","rcid","session","date","unres","me","nu","di","hr","co","ec"
"193",514,12,1957-10-05,"R/12/364",0,0,0,0,0,0
"194",515,12,1957-10-01,"R/12/369",0,0,0,0,1,0
"195",516,12,1957-11-03,"R/12/461",0,1,1,0,0,0
"196",517,12,1957-11-03,"R/12/461",0,1,1,0,0,0
"197",518,12,1957-11-01,"R/12/467",0,1,1,0,0,0
"198",519,12,1957-11-01,"R/12/490A",0,0,1,0,0,0
"199",520,12,1957-11-01,"R/12/490B",0,0,1,0,0,0
"200",521,12,1957-11-04,"R/12/514",0,0,0,0,0,0
"201",522,12,1957-11-01,"R/12/517A",0,0,0,0,1,0
"202",523,12,1957-11-01,"R/12/517B",0,0,0,0,1,0
"203",524,12,1957-11-01,"R/12/529",0,0,0,0,0,1
"204",525,12,1957-11-01,"R/12/530",0,0,0,0,0,1
"205",526,12,1957-11-01,"R/12/535",0,0,0,1,0,0
"206",527,12,1957-11-01,"R/12/536",0,0,0,0,0,0
"207",528,12,1957-11-04,"R/12/541",0,0,0,0,1,0
"208",529,12,1957-11-04,"R/12/547",0,0,0,0,1,0
"209",530,12,1957-11-04,"R/12/553",0,0,0,0,0,0
"210",531,12,1957-11-04,"R/12/557A",1,0,0,0,1,0
"211",532,12,1957-11-04,"R/12/557B",1,0,0,0,1,0
"212",533,12,1957-12-05,"R/12/588A",0,0,0,0,0,0
"213",534,12,1957-12-05,"R/12/588B",0,0,0,0,0,0
"214",535,12,1957-12-06,"R/12/596",0,0,0,0,0,0
"215",536,12,1957-12-07,"R/12/617A",0,0,0,0,0,0
"216",537,12,1957-12-07,"R/12/617B",0,0,0,0,0,0
"217",538,12,1957-12-07,"R/12/623",0,0,0,0,1,0
"218",539,12,1957-12-07,"R/12/624",0,0,0,0,0,0
"219",573,14,1959-09-05,"R/14/94",0,0,0,0,0,0
"220",574,14,1959-09-05,"R/14/95A",0,0,0,0,0,0
"221",575,14,1959-09-05,"R/14/95B",0,0,0,0,0,0
"222",576,14,1959-09-05,"R/14/95C",0,0,0,0,0,0
"223",577,14,1959-09-05,"R/14/95D",0,0,0,0,0,0
"224",578,14,1959-09-05,"R/14/108",0,0,1,0,0,0
"225",579,14,1959-10-06,"R/14/442A",0,0,0,0,0,1
"226",580,14,1959-10-06,"R/14/442B",0,0,0,0,0,1
"227",581,14,1959-10-06,"R/14/452",0,0,0,0,0,0
"228",582,14,1959-10-03,"R/14/465A",0,0,0,0,0,0
"229",583,14,1959-10-03,"R/14/465B",0,0,0,0,0,0
"230",584,14,1959-10-01,"R/14/528",0,0,0,1,0,0
"231",585,14,1959-11-03,"R/14/559",0,0,0,0,0,0
"232",586,14,1959-11-06,"R/14/585A",0,1,1,0,0,0
"233",587,14,1959-11-06,"R/14/585B",0,1,0,0,0,0
"234",588,14,1959-11-06,"R/14/585C",0,1,0,0,0,0
"235",589,14,1959-11-06,"R/14/586A",0,1,0,0,0,0
"236",590,14,1959-11-06,"R/14/586B",0,1,0,0,0,0
"237",591,14,1959-11-06,"R/14/586C",0,1,0,0,0,0
"238",592,14,1959-11-06,"R/14/586D",0,1,0,0,0,0
"239",593,14,1959-11-06,"R/14/590",0,1,1,0,0,0
"240",594,14,1959-11-06,"R/19/595",0,0,0,0,0,1
"241",595,14,1959-11-07,"R/14/600",0,1,1,0,0,0
"242",596,14,1959-11-04,"R/14/612",0,0,0,0,0,1
"243",597,14,1959-11-04,"R/14/613",0,0,0,0,0,1
"244",598,14,1959-11-04,"R/14/621",0,0,0,0,0,0
"245",599,14,1959-12-02,"R/14/632",0,0,0,0,1,0
"246",600,14,1959-12-02,"R/14/637A",0,0,0,0,0,1
"247",601,14,1959-12-02,"R/14/637B",0,0,0,0,0,0
"248",602,14,1959-12-02,"R/14/641",0,0,0,0,0,0
"249",603,14,1959-12-04,"R/14/647",0,0,0,0,0,0
"250",604,14,1959-12-06,"R/14/704",0,0,0,0,0,0
"251",605,14,1959-12-06,"R/14/707",0,0,0,0,1,0
"252",606,14,1959-12-07,"R/14/715",0,0,0,0,0,0
"253",607,14,1959-12-07,"R/14/717",0,0,0,0,0,0
"254",608,14,1959-12-02,"R/14/726",0,0,0,0,1,0
"255",609,14,1959-12-02,"R/14/746A",0,0,0,0,1,0
"256",610,14,1959-12-02,"R/14/746B",0,0,0,1,0,0
"257",611,14,1959-12-02,"R/14/746C",0,0,0,0,1,0
"258",612,14,1959-12-02,"R/14/746D",0,0,0,0,1,0
"259",613,14,1959-12-02,"R/14/747A",0,0,0,0,1,0
"260",614,14,1959-12-02,"R/14/747B",0,0,0,1,0,0
"261",615,14,1959-12-02,"R/14/747C",0,0,0,0,1,0
"262",616,14,1959-12-02,"R/14/773A",0,0,0,0,1,0
"263",617,14,1959-12-02,"R/14/773B",0,0,0,0,1,0
"264",618,14,1959-12-02,"R/14/773C",0,0,0,0,1,0
"265",619,14,1959-12-02,"R/14/774A",0,0,0,0,1,0
"266",620,14,1959-12-02,"R/14/774B",0,0,0,0,1,0
"267",621,14,1959-12-02,"R/14/774C",0,0,0,0,1,0
"268",622,14,1959-12-02,"R/14/775A",0,0,0,0,1,0
"269",623,14,1959-12-02,"R/14/775B",0,0,0,0,1,0
"270",624,14,1959-12-02,"R/14/775C",0,0,0,0,1,0
"271",625,14,1959-12-02,"R/14/775D",0,0,0,0,1,0
"272",626,14,1959-12-02,"R/14/783",0,0,0,0,1,0
"273",729,16,1961-09-07,"R/16/74",0,0,0,0,0,0
"274",730,16,1961-09-07,"R/16/77",0,0,0,0,0,0
"275",731,16,1961-10-04,"R/16/398",0,0,0,0,0,0
"276",732,16,1961-10-04,"R/16/406",0,0,0,0,0,0
"277",733,16,1961-10-02,"R/16/494",0,0,0,0,0,0
"278",734,16,1961-10-06,"R/16/507",0,1,0,0,0,0
"279",735,16,1961-10-06,"R/16/521",0,0,0,0,0,0
"280",736,16,1961-10-06,"R/16/527",0,1,0,0,0,0
"281",737,16,1961-11-05,"R/16/568",0,1,0,0,0,0
"282",738,16,1961-11-07,"R/16/606",0,1,1,0,0,0
"283",739,16,1961-11-07,"R/16/658",0,0,0,0,1,0
"284",740,16,1961-11-02,"R/16/806",0,1,1,0,0,0
"285",741,16,1961-11-02,"R/16/807A",0,1,1,0,0,0
"286",742,16,1961-11-02,"R/16/807B",0,1,1,1,0,0
"287",743,16,1961-11-02,"R/16/807C",0,1,1,0,0,0
"288",744,16,1961-11-02,"R/16/808",0,1,1,0,0,0
"289",745,16,1961-11-05,"R/16/871A",0,0,0,0,1,0
"290",746,16,1961-11-05,"R/16/871B",0,0,0,0,1,0
"291",747,16,1961-11-05,"R/16/873",0,0,0,0,1,0
"292",748,16,1961-11-05,"R/16/875",0,0,0,0,1,0
"293",749,16,1961-11-05,"R/16/876",0,0,0,0,1,0
"294",750,16,1961-11-06,"R/16/887",0,0,0,0,0,0
"295",751,16,1961-11-06,"R/16/888A",0,0,0,0,0,0
"296",752,16,1961-11-06,"R/16/888B",0,0,0,0,0,0
"297",753,16,1961-11-06,"R/16/889A",0,0,0,0,0,0
"298",754,16,1961-11-06,"R/16/889B",0,0,0,0,0,0
"299",755,16,1961-12-03,"R/16/1029",0,0,0,0,1,0
"300",756,16,1961-12-04,"R/16/1068A",0,0,0,0,0,0
"301",757,16,1961-12-04,"R/16/1068B",0,0,0,0,0,0
"302",758,16,1961-12-04,"R/2/1069A",0,0,0,0,0,0
"303",759,16,1961-12-04,"R/16/2/1069B",0,0,0,0,0,0
"304",760,16,1961-12-04,"R/16/1069C",0,0,0,0,0,0
"305",761,16,1961-12-07,"R/16/1077",0,0,0,0,0,0
"306",762,16,1961-12-01,"R/16/1104A",0,0,0,0,1,0
"307",763,16,1961-12-01,"R/16/1104B",0,0,0,0,1,0
"308",764,16,1961-12-01,"R/16/1105A",0,0,0,0,1,0
"309",765,16,1961-12-01,"R/16/1105B",0,0,0,0,1,0
"310",766,16,1961-12-01,"R/16/1108",0,0,0,0,0,1
"311",767,16,1961-12-01,"R/16/1109",0,0,0,0,0,1
"312",768,16,1961-12-01,"R/16/1114A",0,0,0,0,0,1
"313",769,16,1961-12-01,"R/16/1114B",0,0,0,0,0,1
"314",770,16,1961-12-01,"R/16/1114C",0,0,0,0,0,1
"315",771,16,1961-12-02,"R/16/1138",0,0,0,0,0,0
"316",772,16,1961-12-02,"R/16/1141",0,0,0,0,1,0
"317",773,16,1961-12-02,"R/16/1147A",1,0,0,0,0,0
"318",774,16,1961-12-02,"R/16/1147B",1,0,0,0,0,0
"319",775,16,1961-12-02,"R/16/1147C",1,0,0,0,0,0
"320",776,16,1961-12-02,"R/16/1147D",1,0,0,0,0,0
"321",777,16,1961-12-02,"R/16/1153",0,0,0,0,0,0
"322",778,16,1961-12-02,"R/16/1156A",0,0,0,0,0,0
"323",779,16,1961-12-02,"R/16/1156B",0,0,0,0,0,0
"324",780,16,1961-12-02,"R/16/1158",0,0,0,0,0,0
"325",781,16,1961-12-02,"R/16/1162",0,0,0,0,0,0
"326",782,16,1961-12-02,"R/16/1173",0,0,0,0,0,0
"327",783,16,1961-12-02,"R/16/1179",0,0,0,0,0,0
"328",784,16,1962-01-04,"R/16/1345",0,0,0,0,1,0
"329",785,16,1962-01-04,"R/16/1349A",0,0,0,0,1,0
"330",786,16,1962-01-04,"R/16/1349B",0,0,0,0,0,0
"331",787,16,1962-01-04,"R/16/1349C",0,0,0,0,1,0
"332",788,16,1962-01-04,"R/16/1350",0,0,0,0,1,0
"333",789,16,1962-02-06,"R/16/1356",0,0,0,0,0,0
"334",790,16,1962-02-07,"R/16/1361",0,0,0,0,0,0
"335",791,16,1962-02-07,"R/16/1362A",0,0,0,0,0,0
"336",792,16,1962-02-07,"R/16/1362B",0,0,0,0,0,0
"337",793,16,1962-02-07,"R/16/1362C",0,0,0,0,0,0
"338",794,16,1962-02-03,"R/16/1376",0,0,0,0,1,0
"339",795,16,1962-06-01,"R/16/1398",0,0,0,0,1,0
"340",796,16,1962-06-02,"R/16/1510A",0,0,0,0,0,0
"341",797,16,1962-06-02,"R/16/1510B",0,0,0,0,0,0
"342",798,16,1962-06-02,"R/16/1511A",0,0,0,0,0,0
"343",799,16,1962-06-02,"R/16/1511B",0,0,0,0,1,0
"344",800,16,1962-06-02,"R/16/1511C",0,0,0,0,1,0
"345",801,16,1962-06-03,"R/16/1548",0,0,0,0,1,0
"346",802,16,1962-06-03,"R/16/1549A",0,0,0,0,1,0
"347",803,16,1962-06-03,"R/16/1549B",0,0,0,0,1,0
"348",850,18,1963-09-06,"R/18/1881A",0,0,0,1,0,0
"349",851,18,1963-10-01,"R/18/1881B",0,0,0,1,0,0
"350",852,18,1963-10-01,"R/18/1881C",0,0,0,0,0,0
"351",853,18,1963-10-04,"R/18/1883",0,0,0,0,1,0
"352",854,18,1963-10-01,"R/18/1885",0,0,0,0,0,0
"353",855,18,1963-10-04,NA,0,0,0,0,0,0
"354",856,18,1963-11-02,"R/18/1889",0,0,0,0,1,0
"355",857,18,1963-11-02,"R/18/1899",0,0,1,0,1,0
"356",858,18,1963-11-07,"R/18/1903A",0,0,0,0,0,0
"357",859,18,1963-11-07,"R/18/1903B",0,0,0,0,0,0
"358",860,18,1963-11-02,"R/18/1909",0,1,1,0,0,0
"359",861,18,1963-11-02,"R/18/1911",0,1,1,0,0,0
"360",862,18,1963-12-03,"R/18/1912",1,0,0,0,0,0
"361",863,18,1963-12-03,"R/18/1913",0,0,0,0,1,0
"362",864,18,1963-12-05,"R/18/1916",0,0,0,0,0,0
"363",865,18,1963-12-04,"R/18/1948",0,0,0,0,0,0
"364",866,18,1963-12-04,"R/18/1956",0,0,0,0,1,0
"365",867,18,1963-12-05,NA,0,0,0,0,0,0
"366",868,18,1963-12-05,NA,0,0,0,0,0,0
"367",869,18,1963-12-06,"R/18/1964",0,0,0,0,0,0
"368",870,18,1963-12-02,"R/18/1967A",0,0,0,0,0,0
"369",871,18,1963-12-02,"R/18/1967B",0,0,0,0,0,0
"370",872,18,1963-12-02,"R/18/1978A",0,0,0,1,0,0
"371",873,18,1963-12-03,"R/18/1978B",0,0,0,1,1,0
"372",874,18,1963-12-03,"R/18/1983A",0,0,0,0,0,0
"373",875,18,1963-12-03,"R/18/1983B",0,0,0,0,0,0
"374",876,18,1963-12-03,"R/18/1991",0,0,0,0,0,0
"375",877,18,1963-12-03,"R/18/1992A",0,0,0,0,0,1
"376",878,18,1963-12-03,"R/18/1992B",0,0,0,0,0,1
"377",880,20,1965-11-07,NA,0,0,0,0,1,0
"378",881,20,1965-11-07,NA,0,0,0,0,0,0
"379",882,20,1965-11-07,NA,0,0,0,0,0,0
"380",883,20,1965-11-06,NA,0,0,0,0,1,0
"381",884,20,1965-11-05,NA,0,0,0,0,0,0
"382",885,20,1965-11-05,NA,0,0,0,0,0,0
"383",886,20,1965-11-07,NA,0,1,1,0,0,0
"384",887,20,1965-11-03,NA,0,0,1,0,0,0
"385",888,20,1965-12-02,NA,0,0,1,0,0,0
"386",889,20,1965-12-02,NA,0,1,1,0,0,0
"387",890,20,1965-12-02,NA,0,1,1,0,0,0
"388",891,20,1965-12-07,NA,1,0,0,0,0,0
"389",892,20,1965-12-07,NA,0,0,0,0,0,0
"390",893,20,1965-12-01,NA,0,0,0,0,1,0
"391",894,20,1965-12-01,NA,0,0,0,0,1,0
"392",895,20,1965-12-01,NA,0,0,0,0,1,0
"393",896,20,1965-12-01,NA,0,0,0,0,0,0
"394",897,20,1965-12-01,NA,0,0,0,0,1,0
"395",898,20,1965-12-01,NA,0,0,0,0,1,0
"396",899,20,1965-12-01,NA,0,0,0,0,1,0
"397",900,20,1965-12-01,NA,0,0,0,0,0,0
"398",901,20,1965-12-01,NA,0,0,0,0,0,0
"399",902,20,1965-12-01,NA,0,0,0,0,0,0
"400",903,20,1965-12-01,NA,0,0,0,0,1,0
"401",904,20,1965-12-01,NA,0,0,0,0,0,0
"402",905,20,1965-12-02,NA,0,0,0,0,0,0
"403",906,20,1965-12-02,NA,0,0,0,0,0,0
"404",907,20,1965-12-02,NA,0,0,0,0,1,0
"405",908,20,1965-12-03,NA,0,0,0,0,0,0
"406",909,20,1965-12-03,NA,0,0,0,1,0,0
"407",910,20,1965-12-05,NA,0,0,0,0,1,0
"408",911,20,1965-12-05,NA,0,0,0,0,1,0
"409",912,20,1965-12-06,NA,0,0,0,1,0,0
"410",913,20,1965-12-06,NA,0,0,0,1,0,0
"411",914,20,1965-12-06,NA,0,0,1,0,1,0
"412",915,20,1965-12-06,NA,0,0,0,0,1,0
"413",916,20,1965-12-06,NA,0,0,0,0,1,0
"414",917,20,1965-12-06,NA,0,0,0,0,0,0
"415",918,20,1965-12-06,NA,0,0,0,0,0,0
"416",919,20,1965-12-06,NA,0,0,0,0,0,0
"417",920,20,1965-12-06,NA,0,0,0,0,0,0
"418",961,22,1966-12-07,NA,0,0,0,0,0,0
"419",975,22,1967-09-03,NA,0,0,0,0,0,0
